rest_or_suffix	frequency
ගුණ	22490
යහ	22481
න්ද්‍ර	22475
වකින්	22447
යමේ	22365
ක්‍රම	22325
නීය	22304
සින්	22292
වු	22259
ණයි	22256
ත්වයක්	22227
මාන	22203
තුරක්	22184
හණය	22161
ගු	22059
ක්ෂේප	22058
ගතය	22049
රේදී	22016
ල්වල	21982
කාරි	21963
චාර	21921
ලාන	21899
බර්	21883
කගේ	21848
වත්ත	21833
තිතුමා	21831
රයෙකු	21820
හැර	21796
ප්‍රිය	21746
ළුව	21713
බද්ධ	21702
ස්ථාවේදී	21589
ණෙන	21546
මී	21533
පා	21509
ත්‍යාංශයේ	21418
පොළ	21357
යන්ගෙන්	21349
නවල	21325
නයක	21294
ටින්	21280
ඵල	21216
කයන්ගේ	21209
වෙලා	21179
රීන්ට	21165
ධතා	21153
කිය	21123
පත්ති	21061
න්ධව	21023
ණිලි	21004
රුවන්ට	20984
නමින්	20931
රෙන්	20884
ධපුර	20876
රාධපුර	20828
න්හි	20816
පතල	20812
තිවරයාගේ	20800
කිරීමට	20765
ධාරීන්ට	20668
ක්ෂයට	20665
ද්‍යාල	20642
රයකු	20572
වෙනි	20572
රියේදී	20559
කවරයා	20551
යින්ගේ	20537
ණී	20529
දව	20492
මැතිය	20489
රිස්	20483
මයක්	20448
ස්තු	20443
විද්‍යාල	20436
වම්	20427
වකි	20296
ත්තේ	20242
සී	20160
වෙක්	20120
දීය	20064
තුන්	20043
ල්ලා	19995
රාදා	19950
න්තයේ	19941
ණින්	19905
ළි	19871
ධානයේ	19866
වරුන්ගේ	19862
කර්ම	19791
වෙයි	19760
තළ	19709
මිතව	19690
හල්	19665
ගික	19609
තිවරයාට	19595
කයකු	19555
කිරීම	19553
කරණයේ	19540
ණයේදී	19519
ළිය	19458
පතළ	19433
ත්වීම	19407
නයේදී	19382
යටත්	19332
ණෑගල	19324
දයේ	19250
පෑම්	19201
න්ඩ්	19173
රුන්ට	19126
රගෙන	19025
හනය	18942
ගමේ	18873
ගෙ	18852
ල්ලට	18844
පට	18838
ත්‍ර	18774
මත	18768
බද	18687
භ	18682
තිව	18608
කයෙක්	18601
